Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,X,Y,Z
0 days 00:00:00,11738.925080533334,284.0,7,100.0,False,0,interpolation,-0.04057507937769911,3351.9074334685283,926.5336861236715,129.75698926677188
0 days 00:00:00.078000,11788.0,284.0,7,100.0,False,0,car,6.153333333333331,3360.655961655787,865.5684299461165,128.77599226205672
0 days 00:00:00.183000,11788.0,286.18749866666667,7,100.0,False,0,pos,14.552869166057746,3371.0,783.0,128.0
0 days 00:00:00.318000,11788.0,289.0,7,100.0,False,0,car,25.419999999999995,3381.864728120289,675.9901739557147,127.89857504810664
0 days 00:00:00.403000,11837.4821056,289.6071424,7,100.0,False,0,pos,32.27556647736192,3387.0,608.0,128.0
0 days 00:00:00.598000,11951.0,291.0,7,100.0,False,0,car,48.05333333333333,3393.5329873625774,450.26816683583,128.00997390198887
0 days 00:00:00.623000,11956.37498624,291.24999936,7,100.0,False,0,pos,50.08317702052179,3394.0,430.0,128.0
0 days 00:00:00.798000,11994.0,293.0,7,100.0,False,0,car,64.33111111111111,3395.0501382695124,288.067346261972,127.99201188822016
0 days 00:00:00.803000,11995.07498624,293.02499968,7,100.0,False,0,pos,64.73883035619916,3395.0,284.0,128.0
0 days 00:00:00.998000,12037.0,294.0,7,100.0,False,0,car,80.66444444444444,3389.207523037948,124.69257442087603,128.7478537747863
0 days 00:00:01.103000,12063.62498377143,294.3749997714286,7,100.0,False,0,pos,89.26280303498714,3384.0,39.0,129.0
0 days 00:00:01.263000,12104.196412342857,294.94642834285713,7,100.0,False,0,pos,102.37994173512281,3374.0,-91.0,129.0
0 days 00:00:01.278000,12108.0,295.0,7,100.0,False,0,car,103.60888888888888,3372.8883178007254,-103.1833595320976,129.04760460954407
0 days 00:00:01.443000,11876.541756444445,292.7083342222222,7,54.16668444444445,False,0,pos,117.11686758651629,3359.0,-237.0,130.0
0 days 00:00:01.638000,11603.0,290.0,7,0.0,True,0,car,132.60888888888888,3341.459733011127,-392.9219755757685,129.9812495475883
0 days 00:00:01.743000,11551.4844064,279.8281312,7,0.0,True,0,pos,140.50639759810628,3332.0,-474.0,130.0
0 days 00:00:01.958000,11446.0,259.0,7,0.0,True,0,car,155.63111111111112,3313.39902484192,-630.547766314019,130.96973926379457
0 days 00:00:01.963000,11443.946454857143,258.3928649142857,7,0.0,True,0,pos,155.96436369509487,3313.0,-634.0,131.0
0 days 00:00:02.143000,11370.01788342857,236.53572205714286,7,0.0,True,0,pos,167.41114036231605,3300.0,-752.0,132.0
0 days 00:00:02.238000,11331.0,225.0,7,0.0,True,0,car,173.13111111111112,3294.3389876116416,-809.1774221847996,132.0233731521853
0 days 00:00:02.323000,11449.9999104,216.92500608,7,0.0,True,0,pos,178.10247111546522,3290.0,-857.0,132.0
0 days 00:00:02.438000,11611.0,206.0,5,0.0,True,0,car,184.57555555555558,3285.2244352150274,-916.2504654691506,132.33749293392498
0 days 00:00:02.563000,11583.656264,193.5000064,5,0.0,True,0,pos,191.2278480627104,3282.0,-987.0,133.0
0 days 00:00:02.598000,11576.0,190.0,4,0.0,True,0,car,193.02,3281.572819748918,-1010.7093628356531,133.20321374517601
0 days 00:00:02.764000,11426.0813656,179.625008,4,0.0,True,0,pos,201.10403812490213,3282.0,-1128.0,134.0
0 days 00:00:02.918000,11287.0,170.0,4,0.0,True,0,car,208.13111111111112,3284.8692398956146,-1188.5172158435694,133.67425893408887
0 days 00:00:03.084000,11052.755736177778,162.16111715555556,4,0.0,True,0,pos,215.3386226276462,3293.0,-1234.0,133.0
0 days 00:00:03.278000,10779.0,153.0,3,0.0,True,0,car,223.4311111111111,3312.015610022006,-1312.8310786281017,132.99564223396905
0 days 00:00:03.304000,10723.953718640008,152.23849017881435,3,0.0,True,0,pos,224.50283979978715,3315.0,-1323.0,133.0
