Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,X,Y,Z
0 days 00:00:00,11498.550030933333,290.0,7,99.0,False,0,interpolation,-0.013529166267329362,3357.816089053219,885.728780560968,132.9651162633221
0 days 00:00:00.011000,11501.208317866667,290.0,7,99.0,False,0,pos,0.8719240875371055,3359.0,877.0,133.0
0 days 00:00:00.231000,11554.3750464,290.0,7,99.0,False,0,pos,18.605850407284407,3379.0,701.0,128.0
0 days 00:00:00.246000,11558.0,290.0,7,99.0,False,0,car,19.816666666666666,3380.125835205687,688.99968626277,127.85995491060295
0 days 00:00:00.351000,11588.107575029087,290.3763446878636,7,99.0,False,0,pos,28.29858760025008,3387.0,605.0,128.0
0 days 00:00:00.511000,11633.985700705789,290.94982125882234,7,99.0,False,0,pos,41.236924239423544,3393.0,476.0,128.0
0 days 00:00:00.525000,11638.0,291.0,7,99.0,False,0,car,42.36916666666667,3393.331033074372,464.6760702282562,127.98801096257048
0 days 00:00:00.766000,11591.0,291.0,7,99.0,False,0,car,61.85000000000001,3394.704216611733,269.3837057985675,127.82710724939585
0 days 00:00:00.851000,11574.0000128,290.57500032,7,99.0,False,0,pos,68.7022874764283,3393.0,201.0,128.0
0 days 00:00:00.966000,11551.0,290.0,7,99.0,False,0,car,77.96111111111111,3388.770797408338,109.18655762140668,128.51841435363662
0 days 00:00:01.091000,11536.416674133334,289.65277795555556,7,99.0,False,0,pos,88.02145850886203,3382.0,9.0,129.0
0 days 00:00:01.291000,11513.0833408,289.0972224,7,99.0,False,0,pos,104.06897580116294,3368.0,-151.0,129.0
0 days 00:00:01.326000,11509.0,289.0,7,99.0,False,0,car,106.86111111111111,3365.5441578937916,-176.76752737541022,129.14664290998707
0 days 00:00:01.451000,11462.125024,285.8750016,7,48.218776000000005,False,0,pos,116.78097301263873,3355.0,-278.0,130.0
0 days 00:00:01.486000,11449.0,285.0,7,34.0,True,0,car,119.52777777777777,3350.49698094113,-317.2417952642813,130.21653866389735
0 days 00:00:01.651000,10980.125181866666,277.43750293333335,7,12.687508266666669,True,0,pos,132.22879755937436,3324.0,-539.0,131.0
0 days 00:00:01.726000,10767.0,274.0,7,3.0,True,0,car,137.79444444444442,3314.3478543378137,-621.5725008432463,131.24035124685804
0 days 00:00:01.926000,10381.0,253.0,7,2.0,True,0,car,151.84999999999997,3298.734457105994,-765.5456518550775,131.54247077266436
0 days 00:00:02.126000,10101.0,232.0,7,1.0,True,0,car,164.73888888888885,3290.7718354233652,-846.2466009983696,131.9218226038022
0 days 00:00:02.151000,10041.37454208,229.87498368,7,1.0,True,0,pos,166.28402593728006,3290.0,-854.0,132.0
0 days 00:00:02.326000,9624.0,215.0,7,1.0,True,0,car,176.6833333333333,3285.9631784893236,-898.3622134403607,132.7179761175195
0 days 00:00:02.391000,9790.9692432,207.6874784,7,1.0,True,0,pos,180.32241510706848,3285.0,-924.0,133.0
0 days 00:00:02.486000,10035.0,197.0,7,1.0,True,0,car,185.43888888888887,3284.0722432720636,-978.3435568715234,133.39157635097484
0 days 00:00:02.686000,10838.0,183.0,5,1.0,True,0,car,195.60555555555553,3284.187517948835,-1130.148733102656,133.9912438398947
0 days 00:00:02.751000,10680.142390857143,180.44642102857142,5,1.0,True,0,pos,198.79188576652757,3285.0,-1167.0,134.0
0 days 00:00:02.966000,10158.0,172.0,4,1.0,True,0,car,208.98333333333332,3290.752159032369,-1230.8994994048724,133.33401613629235
0 days 00:00:03.091000,10910.49961472,165.7500032,4,1.0,True,0,pos,214.66761001944494,3299.0,-1264.0,133.0
0 days 00:00:03.166000,11362.0,162.0,3,1.0,True,0,car,217.98333333333332,3306.348923093773,-1291.4456837732118,132.95124663543226
0 days 00:00:03.311000,11084.082965333333,155.95832533333333,3,1.0,True,0,pos,224.17898509405848,3325.0,-1352.0,133.0
0 days 00:00:03.406000,10902.0,152.0,3,1.0,True,0,car,228.11666666666667,3339.6657129073424,-1387.4978914803937,132.93611050560287
0 days 00:00:03.511000,10650.374539885714,148.9999945142857,3,1.0,True,0,pos,232.37842606078726,3359.0,-1424.0,133.0
0 days 00:00:03.686000,10231.0,144.0,3,1.0,True,0,car,239.31666666666666,3399.9582258890755,-1482.207069268811,133.8565640637934
0 days 00:00:03.731000,10157.5938544,143.296876,3,1.2812496,True,0,pos,241.08081276686573,3411.0,-1496.0,134.0
0 days 00:00:03.931000,9831.3438544,140.171876,3,2.5312495999999998,True,0,pos,248.82105975123665,3466.0,-1554.0,134.0
0 days 00:00:04.006000,9709.0,139.0,3,3.0,False,0,car,251.67222222222222,3497.5563826768216,-1579.6601879355371,134.1570237312988
0 days 00:00:04.211000,9461.535791542858,133.8750016,3,3.0,False,0,pos,259.2879937698108,3596.0,-1650.0,135.0
0 days 00:00:04.286000,9371.0,132.0,3,3.0,True,0,car,261.93888888888887,3620.6920193324477,-1666.3777882130698,135.22558225600352
0 days 00:00:04.630000,9861.2,118.24,3,3.0,True,0,pos,273.0664669224717,3685.0,-1700.0,135.0
0 days 00:00:04.686000,9941.0,116.0,3,3.0,True,0,car,274.8277777777778,3700.070088882386,-1707.9093499467353,134.62651794282806
0 days 00:00:04.810000,9677.5,112.9,3,3.0,True,0,pos,278.7147408337694,3737.0,-1728.0,134.0
0 days 00:00:04.846000,9601.0,112.0,2,3.0,True,0,car,279.80555555555554,3747.051610225295,-1733.710073569439,134.10395438705223
0 days 00:00:04.970000,9189.32,107.04,2,3.0,True,0,pos,283.3686065465354,3779.0,-1753.0,135.0
0 days 00:00:05.210000,8392.52,97.44,2,3.0,True,0,pos,289.5802370977773,3830.0,-1793.0,135.0
0 days 00:00:05.246000,8273.0,96.0,2,3.0,True,0,car,290.47222222222223,3836.1475711128005,-1799.9969914658316,134.9671294690822
0 days 00:00:06.010000,6927.405,80.72,2,1.0899999999999999,True,0,pos,307.5115539499479,3883.0,-1982.0,136.0
0 days 00:00:06.046000,6864.0,80.0,2,1.0,False,0,car,308.25,3882.6680979601197,-1988.1773403459383,136.07703354577518
0 days 00:00:06.411000,6523.886423272727,73.36363752727273,2,5.977271854545455,False,0,pos,315.5389142040545,3866.0,-2047.0,137.0
0 days 00:00:06.486000,6454.0,72.0,2,7.0,False,0,car,317.05,3858.0421519070014,-2065.901282195393,137.27199369638416
