Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,X,Y,Z
0 days 00:00:00,11805.002508416454,287.4121568246278,7,100.0,False,0,interpolation,0.1206530093818805,3357.067775833077,896.046807977214,132.88117041417175
0 days 00:00:00.026000,11808.942539187612,287.5203994282311,7,100.0,False,0,pos,2.225607737605493,3359.0,878.0,133.0
0 days 00:00:01.102000,11972.0,292.0,7,100.0,False,0,car,89.52194444444446,3373.322742818329,-99.68920331561043,128.99868472153975
0 days 00:00:01.107000,11970.597240177778,292.0138887111111,7,100.0,False,0,pos,89.92842628585358,3373.0,-104.0,129.0
0 days 00:00:01.462000,11871.0,293.0,7,100.0,False,0,car,118.82194444444445,3343.8023139782567,-378.1337502972079,129.93347421598872
0 days 00:00:01.487000,11839.1247552,292.6874976,7,100.0,False,0,pos,120.86117176318362,3342.0,-393.0,130.0
0 days 00:00:01.702000,11565.0,290.0,7,100.0,True,0,car,138.1552777777778,3329.891013622968,-491.0113319755893,130.40410909749107
0 days 00:00:01.907000,10932.916864,270.63889493333335,7,43.055573333333335,True,0,pos,153.2320911973217,3314.0,-628.0,131.0
0 days 00:00:02.062000,10455.0,256.0,7,0.0,True,0,car,163.7552777777778,3294.614168937991,-805.012247011636,131.85436918213756
0 days 00:00:02.087000,10342.945568,252.9642624,7,0.0,True,0,pos,165.39115570398687,3292.0,-831.0,132.0
0 days 00:00:02.342000,9200.0,222.0,7,0.0,True,0,car,181.02194444444447,3281.07964851932,-996.3848316431785,133.41605243776263
0 days 00:00:02.507000,9379.02493056,198.90000896,7,0.0,True,0,pos,189.97934652972992,3281.0,-1057.0,134.0
0 days 00:00:02.542000,9417.0,194.0,7,0.0,True,0,car,191.79972222222224,3281.0726252946106,-1068.912057440501,134.07061388761753
0 days 00:00:02.702000,10264.0,181.0,7,0.0,True,0,car,199.8441666666667,3281.907453786716,-1119.6021687123073,134.15836607471113
0 days 00:00:02.827000,10806.49972224,174.12500352,7,0.0,True,0,pos,205.78713788874387,3285.0,-1163.0,134.0
0 days 00:00:02.902000,11132.0,170.0,6,0.0,True,0,car,209.28861111111115,3288.318655886481,-1192.5267176233388,133.81911333567214
0 days 00:00:03.062000,11471.0,166.0,4,0.0,True,0,car,216.66638888888892,3299.1652332417952,-1263.0851256577175,133.26051791580582
0 days 00:00:03.187000,11137.666837333334,159.22917013333333,4,0.0,True,0,pos,222.06463414701784,3312.0,-1316.0,133.0
0 days 00:00:03.302000,10831.0,153.0,3,0.0,True,0,car,226.86638888888893,3327.4333541197766,-1360.406267348636,132.9840495650502
0 days 00:00:03.367000,10683.44956416,151.69999616,3,0.0,True,0,pos,229.57435139246255,3338.0,-1384.0,133.0
0 days 00:00:03.427000,10547.25014528,150.50000128,3,0.0,True,0,pos,232.06757155130308,3349.0,-1405.0,133.0
0 days 00:00:03.502000,10377.0,149.0,3,0.0,True,0,car,235.1441666666667,3363.8559938783374,-1430.6749867030182,132.97303013979308
0 days 00:00:03.647000,10228.3748032,144.468744,3,0.0,True,0,pos,240.95213960726855,3396.0,-1478.0,133.0
0 days 00:00:03.662000,10213.0,144.0,3,0.0,False,0,car,241.5441666666667,3399.605263572763,-1482.6407094272342,133.02758750325012
0 days 00:00:03.822000,9927.0,140.0,3,0.0,False,0,car,247.76638888888894,3441.2363270236956,-1529.1434743525292,133.60969710578632
0 days 00:00:03.907000,9959.2291424,138.5833344,3,10.624991999999999,False,0,pos,251.00330404477984,3465.0,-1552.0,134.0
0 days 00:00:04.062000,10018.0,136.0,3,30.0,False,0,car,256.83305555555563,3510.546488467999,-1590.7725540984,134.71274681516346
0 days 00:00:04.167000,9854.3747008,135.1249984,3,32.0416704,False,0,pos,260.78349979031873,3543.0,-1615.0,135.0
0 days 00:00:04.347000,9573.875099733334,133.62500053333332,3,35.54166542222222,False,0,pos,267.47553811692,3601.0,-1653.0,135.0
0 days 00:00:04.422000,9457.0,133.0,3,37.0,False,0,car,270.1330555555556,3625.0975562064086,-1667.77241656944,135.0505392545966
0 days 00:00:04.487000,9574.97534848,130.23749184,3,30.98748224,False,0,pos,272.3651007450556,3646.0,-1680.0,135.0
0 days 00:00:04.707000,9974.27488384,120.88750272,3,10.637505919999999,False,0,pos,279.46579124111963,3716.0,-1717.0,134.0
0 days 00:00:04.822000,10183.0,116.0,2,0.0,True,0,car,283.0219444444445,3748.244717533863,-1734.0605891172784,134.43134865520528
0 days 00:00:04.927000,9553.373848685715,112.24999314285714,2,0.0,True,0,pos,286.2042660304793,3777.0,-1752.0,135.0
0 days 00:00:05.102000,8504.0,106.0,2,0.0,True,0,car,291.26638888888897,3828.0686856030106,-1793.7577355672663,135.12153677440907
0 days 00:00:05.226000,8115.614285714286,100.24285714285715,2,0.0,True,0,pos,294.55617673115574,3857.0,-1823.0,135.0
0 days 00:00:05.382000,7627.0,93.0,2,0.0,True,0,car,298.49972222222226,3876.1879781603457,-1851.0003877413624,134.97790929415808
0 days 00:00:05.542000,7318.0,90.0,2,0.0,True,0,car,302.49972222222226,3881.415492565083,-1874.2023202501746,135.02739570650766
0 days 00:00:05.626000,7152.45,87.55,2,0.0,True,0,pos,304.4815176844399,3884.0,-1889.0,135.0
0 days 00:00:05.782000,6845.0,83.0,2,0.0,True,0,car,308.0330555555556,3888.1193134228993,-1923.7367429783417,134.94627000198844
0 days 00:00:05.806000,6810.8,83.0,2,0.0,True,0,pos,308.5867003807956,3888.0,-1931.0,135.0
0 days 00:00:05.942000,6617.0,83.0,2,0.0,True,0,car,311.7219444444445,3882.297984900565,-1982.7989836146883,135.71654754350658
0 days 00:00:06.006000,6550.054411232291,81.393305869575,2,0.0,True,0,pos,313.139841603377,3879.0,-2004.0,136.0
0 days 00:00:06.181000,6367.0,77.0,2,0.0,False,0,car,316.8338888888889,3872.8493416589954,-2032.0272431625822,135.98645920164105
0 days 00:00:06.326000,6513.8124352,74.5833344,2,11.4791616,False,0,pos,319.77432283465373,3867.0,-2046.0,136.0
0 days 00:00:06.421000,6610.0,73.0,2,19.0,False,0,car,321.7005555555556,3861.1534654190164,-2060.6272746670907,136.3970238121321
0 days 00:00:06.526000,6610.0,74.04999936,2,19.0,False,0,pos,323.86612139327974,3853.0,-2080.0,137.0
0 days 00:00:06.621000,6610.0,75.0,2,19.0,False,0,car,325.86722222222227,3844.2551464517537,-2098.6061859438378,137.5020881278972
0 days 00:00:06.846000,7363.7497856,78.74999893333333,2,36.81249493333333,False,0,pos,330.79572449939013,3818.0,-2144.0,139.0
0 days 00:00:06.861000,7414.0,79.0,2,38.0,False,0,car,331.1338888888889,3815.943683613895,-2146.874073271832,139.1531290259607
0 days 00:00:07.027000,7749.458074666667,82.45833066666667,2,38.691666133333335,False,0,pos,334.96055564635583,3791.0,-2177.0,141.0
0 days 00:00:07.101000,7899.0,84.0,2,39.0,False,0,car,336.73388888888894,3779.0939236647264,-2189.2361400655936,141.48762031768035
0 days 00:00:07.247000,7949.37004416,87.6500032,2,41.55500224,False,0,pos,340.3749096900065,3753.0,-2211.0,142.0
0 days 00:00:07.487000,8032.17004416,93.6500032,2,45.75500224,False,0,pos,346.78694214580105,3701.0,-2239.0,143.0
0 days 00:00:07.501000,8037.0,94.0,2,46.0,False,0,car,347.1783333333334,3698.3379909958408,-2240.286028901577,143.04641508047732
0 days 00:00:07.707000,8897.517647127273,100.55454138181818,2,56.76817512727273,False,0,pos,353.15969428739703,3651.0,-2256.0,144.0
