Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,X,Y,Z
0 days 00:00:00,11433.29005184,289.18000128,7,100.0,False,0,interpolation,0.008429145166663946,3355.449355096431,906.0064812081976,130.4972071562131
0 days 00:00:00.088000,11468.93005184,290.06000128,7,100.0,False,0,pos,7.118582526269498,3365.0,836.0,131.0
0 days 00:00:00.182000,11507.0,291.0,7,100.0,False,0,car,14.721666666666664,3373.5572746007538,760.5468083117754,130.14881715546986
0 days 00:00:00.328000,11537.242883657143,291.52142902857145,7,100.0,False,0,pos,26.547506957091002,3384.0,644.0,128.0
0 days 00:00:00.462000,11565.0,292.0,7,100.0,False,0,car,37.43277777777778,3391.092632452094,537.4993229645901,127.96010488265028
0 days 00:00:00.488000,11551.79744015899,292.16199459927617,7,100.0,False,0,pos,39.54972281924701,3392.0,514.0,128.0
0 days 00:00:00.783000,11402.0,294.0,7,100.0,False,0,car,63.64777777777778,3390.4025922292317,175.11769598650076,127.89201899337657
0 days 00:00:00.848000,11462.100660711345,294.0,7,100.0,False,0,pos,68.96098266998172,3388.0,106.0,128.0
0 days 00:00:00.982000,11586.0,294.0,7,100.0,False,0,car,79.89944444444444,3381.2662515822494,-15.505954460573065,128.5420227259613
0 days 00:00:01.223000,11560.0,293.0,7,100.0,False,0,car,99.51416666666667,3365.668355898905,-175.6885282476705,129.89703354744083
0 days 00:00:01.268000,11503.86257984,292.66250048,7,89.53751488,False,0,pos,103.20425086473621,3363.0,-201.0,130.0
0 days 00:00:01.568000,11129.61226048,290.41249856,7,19.787455359999996,False,0,pos,127.5898874187051,3345.0,-362.0,130.0
0 days 00:00:01.623000,11061.0,290.0,7,7.0,False,0,car,131.73638888888888,3340.1798883943275,-402.53373085968315,130.23935820602165
0 days 00:00:01.748000,10619.333559466666,274.7222300444445,7,4.569445688888889,False,0,pos,140.65764559123969,3328.0,-504.0,131.0
0 days 00:00:01.983000,9789.0,246.0,7,0.0,True,0,car,156.33638888888888,3307.9149159141416,-674.9746867346225,131.86160739527998
